ticker	filename	sha256	bytes	source_relpath
10X	2025-12-09_financial-report-for-period-ended-30-june-2025_3f517fe5-7b78-46b5-b861-475f72e68bd1.pdf	77a1615b91cbf4bafb509979e779e1f87e21a5a77685fb76c054b81950b35389	1865616	10X/2025-12-09_financial-report-for-period-ended-30-june-2025_3f517fe5-7b78-46b5-b861-475f72e68bd1.pdf
10X	2025-12-09_financial-report-for-period-ended-30-june-2025_6fc76759-e4ad-4494-9450-df9b0f263e44.pdf	77a1615b91cbf4bafb509979e779e1f87e21a5a77685fb76c054b81950b35389	1865616	10X/2025-12-09_financial-report-for-period-ended-30-june-2025_6fc76759-e4ad-4494-9450-df9b0f263e44.pdf
10X	2026-01-21_exceptional-results-up-to-5-42-g-t-au-256-g-t-ag-peak-view_057333db-9c11-416a-8986-753ca81f4c7b.pdf	521ba2e6f7e80bef8c6ddb44278d6b6da4e3f9f85bb881e4cf003520dce71b9e	4625577	10X/2026-01-21_exceptional-results-up-to-5-42-g-t-au-256-g-t-ag-peak-view_057333db-9c11-416a-8986-753ca81f4c7b.pdf
10X	2026-01-21_exceptional-results-up-to-5-42-g-t-au-256-g-t-ag-peak-view_28a886c2-d051-42c6-af71-344a41cfd28f.pdf	521ba2e6f7e80bef8c6ddb44278d6b6da4e3f9f85bb881e4cf003520dce71b9e	4625577	10X/2026-01-21_exceptional-results-up-to-5-42-g-t-au-256-g-t-ag-peak-view_28a886c2-d051-42c6-af71-344a41cfd28f.pdf
14D	2021-02-26_appendix-4d-and-half-year-financial-statements_46030b42-6864-448e-a9cb-c2b78ecae0a3.pdf	9fbdddc4b625fba1adaf516c7e3db7c5a5cb3d6690e97a447821efb1896c710d	869010	14D/2021-02-26_appendix-4d-and-half-year-financial-statements_46030b42-6864-448e-a9cb-c2b78ecae0a3.pdf
14D	2021-08-31_2021-unaudited-financial-report-glenelg-project-impairment_80a5f0a6-930d-405c-8271-27f887cfc4d6.pdf	1a54bd5e01ecfddb8553f9ecf691096293311f903d51b574e08b51d6fce0035b	644149	14D/2021-08-31_2021-unaudited-financial-report-glenelg-project-impairment_80a5f0a6-930d-405c-8271-27f887cfc4d6.pdf
14D	2021-08-31_appendix-4e-and-unaudited-financial-report_0f8e624d-2116-4140-97f6-01b73fa31fed.pdf	57122b7895c4b5f502116b76dd81a18a855e259d3e6ba24aa8d2682b45462d40	423513	14D/2021-08-31_appendix-4e-and-unaudited-financial-report_0f8e624d-2116-4140-97f6-01b73fa31fed.pdf
14D	2021-09-30_2021-annual-report_83c101ed-8dd0-4b60-92e4-51364089ce24.pdf	c19bcc675b33131b483a735a912ea42d79fae46121c129a16d06a2d578bf908e	2953717	14D/2021-09-30_2021-annual-report_83c101ed-8dd0-4b60-92e4-51364089ce24.pdf
29M	2021-09-16_cervantes-drilling-delivers-high-grade-results_232acfde-dc63-43a1-b727-ca715cea3877.pdf	5cab79c2c1385880c604da0811868463753c49224d6382eb8296f3da82debb80	2419268	29M/2021-09-16_cervantes-drilling-delivers-high-grade-results_232acfde-dc63-43a1-b727-ca715cea3877.pdf
29M	2021-09-16_cervantes-drilling-delivers-high-grade-results_289412e1-cac5-4db4-a0b5-bce5490dd6ca.pdf	5cab79c2c1385880c604da0811868463753c49224d6382eb8296f3da82debb80	2419268	29M/2021-09-16_cervantes-drilling-delivers-high-grade-results_289412e1-cac5-4db4-a0b5-bce5490dd6ca.pdf
29M	2022-02-09_2021-cervantes-campaign-further-high-grade-results_e0fbcaf2-7b91-4fa5-83c7-26d9362acb56.pdf	fe57e1ead9e8125a1974655d4b0ec0500e34f179bbeadadf9a2c10da733372ff	2425106	29M/2022-02-09_2021-cervantes-campaign-further-high-grade-results_e0fbcaf2-7b91-4fa5-83c7-26d9362acb56.pdf
29M	2022-02-09_2021-cervantes-campaign-further-high-grade-results_febebd7b-b8d4-47af-b6da-b4eee618dd58.pdf	fe57e1ead9e8125a1974655d4b0ec0500e34f179bbeadadf9a2c10da733372ff	2425106	29M/2022-02-09_2021-cervantes-campaign-further-high-grade-results_febebd7b-b8d4-47af-b6da-b4eee618dd58.pdf
A2M	2026-02-16_1h26-results-commentary-fy26-outlook_86fc6443-1c12-4381-ac73-882ecaeae048.pdf	3c990628af7d5bee771527a42d6873d89b15f27d461bc25d2b90fba89e8a84f7	423128	A2M/2026-02-16_1h26-results-commentary-fy26-outlook_86fc6443-1c12-4381-ac73-882ecaeae048.pdf
A2M	2026-02-16_1h26-results-media-release_9e75c27a-ed7c-4b2b-a69a-7ec8d0219c88.pdf	de6a31c4a944132c5165fd8c665a909d66f8dae45a54b83b8ad1ff4fd9913839	374351	A2M/2026-02-16_1h26-results-media-release_9e75c27a-ed7c-4b2b-a69a-7ec8d0219c88.pdf
A2M	2026-02-16_1h26-results-presentation_0e6ac5ac-9622-4f5e-850c-c01908d2a3c0.pdf	81317d02e038bea5a43f969378e7fe011dcf6d658922b131c19a74abf69c800a	5195692	A2M/2026-02-16_1h26-results-presentation_0e6ac5ac-9622-4f5e-850c-c01908d2a3c0.pdf
A2M	2026-02-16_appendix-4d-and-1h26-interim-report_008c6807-d8cf-44fe-8087-5d2855d78838.pdf	cf33ccb4a2729a88dcb30c44bbd77f6b0ebad258231facd29adeb4e7d6f86f52	8484985	A2M/2026-02-16_appendix-4d-and-1h26-interim-report_008c6807-d8cf-44fe-8087-5d2855d78838.pdf
AAL	2026-02-23_appendix-4d-and-interim-financial-report_e3166bfc-f1c3-4c8d-9819-76779ab99324.pdf	6db69e44a024d2e900c3e5a92368c96ba75e69c902152fdf2a997340248abd43	1977876	AAL/2026-02-23_appendix-4d-and-interim-financial-report_e3166bfc-f1c3-4c8d-9819-76779ab99324.pdf
AAM	2021-03-16_half-year-accounts_575058b8-e6da-4f00-9c71-0e7c982a3153.pdf	dc7fecf4adb7372799ef22ce818934b5b77fea60283320d37780def8f05a70db	1396207	AAM/2021-03-16_half-year-accounts_575058b8-e6da-4f00-9c71-0e7c982a3153.pdf
AAM	2021-03-16_half-year-accounts_a7058701-37bb-4745-bae5-d0b9314776f5.pdf	dc7fecf4adb7372799ef22ce818934b5b77fea60283320d37780def8f05a70db	1396207	AAM/2021-03-16_half-year-accounts_a7058701-37bb-4745-bae5-d0b9314776f5.pdf
AAM	2021-08-26_wgh-delivers-strong-drilling-results-including-36-g-t-au_166c0a47-bb0f-4de4-af56-ad5ae6206dd4.pdf	3b53ad6f99f7829ab707d66fc44b89a96ec6f2c797624d9ca1e5d2ff836fc633	2170698	AAM/2021-08-26_wgh-delivers-strong-drilling-results-including-36-g-t-au_166c0a47-bb0f-4de4-af56-ad5ae6206dd4.pdf
AAM	2021-08-26_wgh-delivers-strong-drilling-results-including-36-g-t-au_49ddb877-b3e2-4f78-9822-184bba3891bb.pdf	3b53ad6f99f7829ab707d66fc44b89a96ec6f2c797624d9ca1e5d2ff836fc633	2170698	AAM/2021-08-26_wgh-delivers-strong-drilling-results-including-36-g-t-au_49ddb877-b3e2-4f78-9822-184bba3891bb.pdf
AAU	2025-12-24_interim-distribution-received-from-voluntary-liquidation_22eacaea-88c3-4aa0-bfda-33818a8328e4.pdf	8fee91d16cc6facf7d3d034f5d5ef9e3fc505bf25060cc09ce90009280483bc3	397365	AAU/2025-12-24_interim-distribution-received-from-voluntary-liquidation_22eacaea-88c3-4aa0-bfda-33818a8328e4.pdf
