epoch,iso_utc,phase,event,doc_id,port_open,health_ok,runtime_pids,slots_http_status,slots_snapshot,vram_used_mb,vram_free_mb,vram_critical,extraction_processes,health_state,slots_probe_state
1777869463.401282,2026-05-04T04:37:43.401282+00:00,preflight,after_runtime_stop_before,,False,False,[],,URLError: <urlopen error [Errno 111] Connection refused>,3520,21056,0,[],port_closed,missing
1777869463.516817,2026-05-04T04:37:43.516817+00:00,cell_a_serial_parallel1_control,before_cell,,False,False,[],,URLError: <urlopen error [Errno 111] Connection refused>,3520,21056,0,[],port_closed,missing
1777870686.937397,2026-05-04T04:58:06.937397+00:00,cell_a_serial_parallel1_control,after_cell,,False,False,[],,URLError: <urlopen error [Errno 111] Connection refused>,3520,21056,0,[],port_closed,missing
1777870687.046425,2026-05-04T04:58:07.046425+00:00,between_cells,after_cell_a_stop,,False,False,[],,URLError: <urlopen error [Errno 111] Connection refused>,3520,21056,0,[],port_closed,missing
1777870687.16337,2026-05-04T04:58:07.163370+00:00,cell_b_parallel2_serial_client,before_cell,,False,False,[],,URLError: <urlopen error [Errno 111] Connection refused>,3520,21056,0,[],port_closed,missing
1777871713.315382,2026-05-04T05:15:13.315382+00:00,cell_b_parallel2_serial_client,after_cell,,True,True,[1959487],200,"[{""id"":0,""n_ctx"":8192,""speculative"":false,""is_processing"":false,""id_task"":984,""params"":{""seed"":4294967295,""temperature"":0.0,""dynatemp_range"":0.0,""dynatemp_exponent"":1.0,""top_k"":40,""top_p"":0.949999988079071,""min_p"":0.05000000074505806,""top_n_sigma"":-1.0,""xtc_probability"":0.0,""xtc_threshold"":0.10000000149011612,""typical_p"":1.0,""repeat_last_n"":64,""repeat_penalty"":1.0,""presence_penalty"":0.0,""frequency_penalty"":0.0,""dry_multiplier"":0.0,""dry_base"":1.75,""dry_allowed_length"":2,""dry_penalty_last_n"":8192,""mirostat"":0,""mirostat_tau"":5.0,""mirostat_eta"":0.10000000149011612,""max_tokens"":2048,""n_predict"":2048,""n_keep"":0,""n_discard"":0,""ignore_eos"":false,""stream"":false,""n_probs"":0,""min_keep"":0,""chat_format"":""peg-native"",""reasoning_format"":""deepseek"",""reasoning_in_content"":false,""thinking_forced_open"":false,""samplers"":[""penalties"",""dry"",""top_n_sigma"",""top_k"",""typ_p"",""top_p"",""min_p"",""xtc"",""temperature""],""speculative.n_max"":16,""speculative.n_min"":0,""speculative.p_min"":0.75,""speculative.type"":""none"",""specu",12469,12107,0,"[{""pid"": 1959487, ""port"": ""8002"", ""model"": ""qwen2.5-14b-instruct-q4_k_m.gguf"", ""vram_mb"": 12464, ""status"": ""AUTHORISED""}]",healthy,ok
1777871713.521897,2026-05-04T05:15:13.521897+00:00,cell_c_parallel2_two_doc_concurrent,poll,,True,True,[1959487],200,"[{""id"":0,""n_ctx"":8192,""speculative"":false,""is_processing"":false,""id_task"":984,""params"":{""seed"":4294967295,""temperature"":0.0,""dynatemp_range"":0.0,""dynatemp_exponent"":1.0,""top_k"":40,""top_p"":0.949999988079071,""min_p"":0.05000000074505806,""top_n_sigma"":-1.0,""xtc_probability"":0.0,""xtc_threshold"":0.10000000149011612,""typical_p"":1.0,""repeat_last_n"":64,""repeat_penalty"":1.0,""presence_penalty"":0.0,""frequency_penalty"":0.0,""dry_multiplier"":0.0,""dry_base"":1.75,""dry_allowed_length"":2,""dry_penalty_last_n"":8192,""mirostat"":0,""mirostat_tau"":5.0,""mirostat_eta"":0.10000000149011612,""max_tokens"":2048,""n_predict"":2048,""n_keep"":0,""n_discard"":0,""ignore_eos"":false,""stream"":false,""n_probs"":0,""min_keep"":0,""chat_format"":""peg-native"",""reasoning_format"":""deepseek"",""reasoning_in_content"":false,""thinking_forced_open"":false,""samplers"":[""penalties"",""dry"",""top_n_sigma"",""top_k"",""typ_p"",""top_p"",""min_p"",""xtc"",""temperature""],""speculative.n_max"":16,""speculative.n_min"":0,""speculative.p_min"":0.75,""speculative.type"":""none"",""specu",12469,12107,0,"[{""pid"": 1959487, ""port"": ""8002"", ""model"": ""qwen2.5-14b-instruct-q4_k_m.gguf"", ""vram_mb"": 12464, ""status"": ""AUTHORISED""}]",healthy,ok
1777871713.521973,2026-05-04T05:15:13.521973+00:00,cell_c_parallel2_two_doc_concurrent,before_child_start,bhp_a_2025-06-30,True,True,[1959487],200,"[{""id"":0,""n_ctx"":8192,""speculative"":false,""is_processing"":false,""id_task"":984,""params"":{""seed"":4294967295,""temperature"":0.0,""dynatemp_range"":0.0,""dynatemp_exponent"":1.0,""top_k"":40,""top_p"":0.949999988079071,""min_p"":0.05000000074505806,""top_n_sigma"":-1.0,""xtc_probability"":0.0,""xtc_threshold"":0.10000000149011612,""typical_p"":1.0,""repeat_last_n"":64,""repeat_penalty"":1.0,""presence_penalty"":0.0,""frequency_penalty"":0.0,""dry_multiplier"":0.0,""dry_base"":1.75,""dry_allowed_length"":2,""dry_penalty_last_n"":8192,""mirostat"":0,""mirostat_tau"":5.0,""mirostat_eta"":0.10000000149011612,""max_tokens"":2048,""n_predict"":2048,""n_keep"":0,""n_discard"":0,""ignore_eos"":false,""stream"":false,""n_probs"":0,""min_keep"":0,""chat_format"":""peg-native"",""reasoning_format"":""deepseek"",""reasoning_in_content"":false,""thinking_forced_open"":false,""samplers"":[""penalties"",""dry"",""top_n_sigma"",""top_k"",""typ_p"",""top_p"",""min_p"",""xtc"",""temperature""],""speculative.n_max"":16,""speculative.n_min"":0,""speculative.p_min"":0.75,""speculative.type"":""none"",""specu",12469,12107,0,"[{""pid"": 1959487, ""port"": ""8002"", ""model"": ""qwen2.5-14b-instruct-q4_k_m.gguf"", ""vram_mb"": 12464, ""status"": ""AUTHORISED""}]",healthy,ok
1777871713.701365,2026-05-04T05:15:13.701365+00:00,cell_c_parallel2_two_doc_concurrent,before_child_start,rio_a_2023-12-31,True,True,[1959487],200,"[{""id"":0,""n_ctx"":8192,""speculative"":false,""is_processing"":false,""id_task"":984,""params"":{""seed"":4294967295,""temperature"":0.0,""dynatemp_range"":0.0,""dynatemp_exponent"":1.0,""top_k"":40,""top_p"":0.949999988079071,""min_p"":0.05000000074505806,""top_n_sigma"":-1.0,""xtc_probability"":0.0,""xtc_threshold"":0.10000000149011612,""typical_p"":1.0,""repeat_last_n"":64,""repeat_penalty"":1.0,""presence_penalty"":0.0,""frequency_penalty"":0.0,""dry_multiplier"":0.0,""dry_base"":1.75,""dry_allowed_length"":2,""dry_penalty_last_n"":8192,""mirostat"":0,""mirostat_tau"":5.0,""mirostat_eta"":0.10000000149011612,""max_tokens"":2048,""n_predict"":2048,""n_keep"":0,""n_discard"":0,""ignore_eos"":false,""stream"":false,""n_probs"":0,""min_keep"":0,""chat_format"":""peg-native"",""reasoning_format"":""deepseek"",""reasoning_in_content"":false,""thinking_forced_open"":false,""samplers"":[""penalties"",""dry"",""top_n_sigma"",""top_k"",""typ_p"",""top_p"",""min_p"",""xtc"",""temperature""],""speculative.n_max"":16,""speculative.n_min"":0,""speculative.p_min"":0.75,""speculative.type"":""none"",""specu",12469,12107,0,"[{""pid"": 1959487, ""port"": ""8002"", ""model"": ""qwen2.5-14b-instruct-q4_k_m.gguf"", ""vram_mb"": 12464, ""status"": ""AUTHORISED""}]",healthy,ok
1777871715.697351,2026-05-04T05:15:15.697351+00:00,cell_c_parallel2_two_doc_concurrent,poll,,True,True,[1959487],200,"[{""id"":0,""n_ctx"":8192,""speculative"":false,""is_processing"":false,""id_task"":984,""params"":{""seed"":4294967295,""temperature"":0.0,""dynatemp_range"":0.0,""dynatemp_exponent"":1.0,""top_k"":40,""top_p"":0.949999988079071,""min_p"":0.05000000074505806,""top_n_sigma"":-1.0,""xtc_probability"":0.0,""xtc_threshold"":0.10000000149011612,""typical_p"":1.0,""repeat_last_n"":64,""repeat_penalty"":1.0,""presence_penalty"":0.0,""frequency_penalty"":0.0,""dry_multiplier"":0.0,""dry_base"":1.75,""dry_allowed_length"":2,""dry_penalty_last_n"":8192,""mirostat"":0,""mirostat_tau"":5.0,""mirostat_eta"":0.10000000149011612,""max_tokens"":2048,""n_predict"":2048,""n_keep"":0,""n_discard"":0,""ignore_eos"":false,""stream"":false,""n_probs"":0,""min_keep"":0,""chat_format"":""peg-native"",""reasoning_format"":""deepseek"",""reasoning_in_content"":false,""thinking_forced_open"":false,""samplers"":[""penalties"",""dry"",""top_n_sigma"",""top_k"",""typ_p"",""top_p"",""min_p"",""xtc"",""temperature""],""speculative.n_max"":16,""speculative.n_min"":0,""speculative.p_min"":0.75,""speculative.type"":""none"",""specu",12469,12107,0,"[{""pid"": 1959487, ""port"": ""8002"", ""model"": ""qwen2.5-14b-instruct-q4_k_m.gguf"", ""vram_mb"": 12464, ""status"": ""AUTHORISED""}]",healthy,ok
