entity,total_rows_before,active_before,expired_before,expire_candidate_count,total_rows_after,active_after,expired_after,active_delta,active_reduction_pct,nearly_emptied,below_floor_after
4DMEDICAL,20,20,0,8,20,12,8,-8,40.0,no,no
A2 MILK,44,44,0,24,44,20,24,-24,54.55,no,no
A2M,57,57,0,24,57,33,24,-24,42.11,no,no
ACC,8,8,0,0,8,8,0,0,0.0,no,no
ACCENT GROUP,44,44,0,29,44,15,29,-29,65.91,no,no
AROVELLA,20,20,0,7,20,13,7,-7,35.0,no,no
ASX,58,58,0,33,58,25,33,-33,56.9,no,no
ATLASSIAN,25,25,0,14,25,11,14,-14,56.0,no,no
AUA,13,13,0,0,13,13,0,0,0.0,no,no
AUZ,8,8,0,0,8,8,0,0,0.0,no,no
AXEN GROUP,25,25,0,18,25,7,18,-18,72.0,no,no
BGA,7,7,0,0,7,7,0,0,0.0,no,no
BHP,59,58,1,33,59,25,34,-33,56.9,no,no
BRAIN CHIP,25,25,0,18,25,7,18,-18,72.0,no,no
C79,44,44,0,28,44,16,28,-28,63.64,no,no
CLAR,27,27,0,23,27,4,23,-23,85.19,no,no
CLARITY,25,25,0,18,25,7,18,-18,72.0,no,no
CLT,26,26,0,21,26,5,21,-21,80.77,no,no
COH,68,68,0,39,68,29,39,-39,57.35,no,no
CSL,34,34,0,7,34,27,7,-7,20.59,no,no
CVE,7,7,0,0,7,7,0,0,0.0,no,no
EDV,6,6,0,0,6,6,0,0,0.0,no,no
EGH,7,7,0,0,7,7,0,0,0.0,no,no
END,26,26,0,20,26,6,20,-20,76.92,no,no
ENDEAVOR GROUP,25,25,0,17,25,8,17,-17,68.0,no,no
ENDV,34,34,0,22,34,12,22,-22,64.71,no,no
ENP,6,6,0,0,6,6,0,0,0.0,no,no
EZZ,20,20,0,8,20,12,8,-8,40.0,no,no
GCM,26,26,0,18,26,8,18,-18,69.23,no,no
GCM CORPORATION,25,25,0,16,25,9,16,-16,64.0,no,no
GCMC,27,27,0,20,27,7,20,-20,74.07,no,no
GOLD,4,4,0,0,4,4,0,0,0.0,no,no
IAG,11,11,0,0,11,11,0,0,0.0,no,no
IMPEDIMED,24,24,0,16,24,8,16,-16,66.67,no,no
IMRO,25,25,0,18,25,7,18,-18,72.0,no,no
INDE,44,44,0,33,44,11,33,-33,75.0,no,no
KEY,26,26,0,21,26,5,21,-21,80.77,no,no
KEY PETROLEUM,25,25,0,18,25,7,18,-18,72.0,no,no
KEYP,27,27,0,23,27,4,23,-23,85.19,no,no
LAR,5,5,0,0,5,5,0,0,0.0,no,no
LGM,6,6,0,0,6,6,0,0,0.0,no,no
LION,27,27,0,23,27,4,23,-23,85.19,no,no
LION TOWN,25,25,0,18,25,7,18,-18,72.0,no,no
LIVN,27,27,0,23,27,4,23,-23,85.19,no,no
LON,26,26,0,21,26,5,21,-21,80.77,no,no
LTR PHARMA,20,20,0,8,20,12,8,-8,40.0,no,no
MAR,26,26,0,21,26,5,21,-21,80.77,no,no
MARINO,27,27,0,23,27,4,23,-23,85.19,no,no
MARINO AND CO,25,25,0,18,25,7,18,-18,72.0,no,no
METRICS CREDIT HOLDINGS,8,8,0,0,8,8,0,0,0.0,no,no
NAB,50,50,0,32,50,18,32,-32,64.0,no,no
NATIONAL PENSION SERVICE OF KOREA (NPS),8,8,0,0,8,8,0,0,0.0,no,no
NAVIG,3,3,0,0,3,3,0,0,0.0,no,no
NHF,11,11,0,0,11,11,0,0,0.0,no,no
PARADIGM BIOPHARMACEUTICALS,20,20,0,8,20,12,8,-8,40.0,no,no
PENINSULA,25,25,0,18,25,7,18,-18,72.0,no,no
PET,26,26,0,18,26,8,18,-18,69.23,no,no
PETT,44,44,0,28,44,16,28,-28,63.64,no,no
PETTIMED,25,25,0,16,25,9,16,-16,64.0,no,no
PINNACLE INVESTMENT MANAGEMENT,8,8,0,0,8,8,0,0,0.0,no,no
QBE,11,11,0,0,11,11,0,0,0.0,no,no
RESMED,20,20,0,8,20,12,8,-8,40.0,no,no
RETAIL,4,4,0,0,4,4,0,0,0.0,no,no
S&P 500,14,14,0,0,14,14,0,0,0.0,no,no
SKT,37,37,0,30,37,7,30,-30,81.08,no,no
SN,27,27,0,23,27,4,23,-23,85.19,no,no
SNW,26,26,0,21,26,5,21,-21,80.77,no,no
STK,26,26,0,21,26,5,21,-21,80.77,no,no
STRICKLAND METALS,25,25,0,18,25,7,18,-18,72.0,no,no
SUN,11,11,0,0,11,11,0,0,0.0,no,no
SXC,8,8,0,0,8,8,0,0,0.0,no,no
TMX,7,7,0,0,7,7,0,0,0.0,no,no
TOWNSEND HOLDINGS,8,8,0,0,8,8,0,0,0.0,no,no
TSX:L,6,6,0,0,6,6,0,0,0.0,no,no
TXT,44,44,0,33,44,11,33,-33,75.0,no,no
UGL,4,4,0,0,4,4,0,0,0.0,no,no
VCE,37,37,0,30,37,7,30,-30,81.08,no,no
VERITUS,25,25,0,18,25,7,18,-18,72.0,no,no
WBC,41,41,0,30,41,11,30,-30,73.17,no,no
WES,37,37,0,30,37,7,30,-30,81.08,no,no
WIN,37,37,0,30,37,7,30,-30,81.08,no,no
WIN MEDALS,25,25,0,18,25,7,18,-18,72.0,no,no
XTX,44,44,0,33,44,11,33,-33,75.0,no,no
