entry_id,company_id,type,status,source,source_id,confidence,materiality,persistence,reinforcement_count,first_seen_at,last_seen_at,expiry_state,dry_run_active_score_statement_query,dry_run_promotion_threshold,dry_run_selectable_statement_query,statement_sha256_16
2,AUA,observed_fact,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.77,0.62,medium,0,2026-04-30T07:30:42+00:00,2026-04-30T07:30:42+00:00,fresh,0.825,0.58,True,8202f8b4b7309c47
3,AUA,observed_fact,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.8,0.71,medium,0,2026-04-30T07:30:42+00:00,2026-05-16T03:38:47+00:00,fresh,0.891,0.58,True,01a382f536d7ed58
4,AUA,operating_context,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.77,0.62,short,0,2026-04-30T07:30:43+00:00,2026-05-16T03:38:47+00:00,fresh,0.755,0.58,True,7e94b136bb307a95
5,AUA,observed_fact,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.77,0.66,medium,0,2026-04-30T07:30:43+00:00,2026-05-16T03:38:47+00:00,fresh,0.854,0.58,True,39a07613fbe8b01e
6,AUA,catalyst,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.76,0.86,medium,0,2026-04-30T07:30:43+00:00,2026-05-16T03:38:47+00:00,fresh,0.931,0.56,True,36433f8c926a8ce4
8,AUA,risk,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.74,0.86,medium,0,2026-04-30T07:30:43+00:00,2026-05-16T03:38:47+00:00,fresh,0.912,0.56,True,7a16290ed3c3835e
13,AUA,risk,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.74,0.91,medium,0,2026-04-30T07:36:36+00:00,2026-05-16T03:38:47+00:00,fresh,0.929,0.56,True,e537b4b879fb8974
14,AUA,risk,active,commentary:youtube_transcript,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,0.74,0.86,medium,0,2026-04-30T07:36:36+00:00,2026-05-16T03:38:47+00:00,fresh,0.912,0.56,True,030c67b0f1754092
283,A2M,observed_fact,active,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,0,2026-05-04T08:24:01+00:00,2026-05-04T08:24:01+00:00,fresh,0.852,0.58,True,015a6dfcc60191d2
310,A2M,observed_fact,active,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.82,0.71,short,0,2026-05-04T08:24:07+00:00,2026-05-04T08:24:07+00:00,fresh,0.852,0.58,True,c3e0ab3836218423
717,NAB,observed_fact,active,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.79,0.66,short,0,2026-05-04T08:25:13+00:00,2026-05-04T08:25:13+00:00,fresh,0.835,0.58,True,2ddf0db80519839b
1129,A2M,risk,active,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.74,0.82,short,0,2026-05-04T08:26:56+00:00,2026-05-04T08:26:56+00:00,fresh,0.846,0.56,True,fe7cd3091bff901d
1179,EDV,interpretation,active,news:newspaper4k,news:art_f10061794cc4a0954079f620,0.72,0.74,medium,0,2026-05-04T16:10:41+00:00,2026-05-16T03:38:47+00:00,fresh,0.728,0.58,True,8011b1e83dc7ed0e
1273,EZZ,observed_fact,active,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,0.83,0.7,medium,0,2026-05-04T16:12:06+00:00,2026-05-04T16:12:06+00:00,fresh,0.877,0.58,True,7265ef0acaefa53e
