entry_id,company_id,type,status,source,source_id,confidence,materiality,persistence,reinforcement_count,first_seen_at,last_seen_at,expiry_state,dry_run_active_score_statement_query,dry_run_promotion_threshold,dry_run_selectable_statement_query,statement_sha256_16
1301,CSL,observed_fact,active,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,0.85,0.74,medium,0,2026-05-04T16:12:12+00:00,2026-05-04T16:12:12+00:00,fresh,0.924,0.58,True,b961c1a76d7b652f
1310,RESMED,observed_fact,active,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,0.77,0.66,medium,0,2026-05-04T16:12:13+00:00,2026-05-04T16:12:13+00:00,fresh,0.843,0.62,True,f506722a2e96b367
1341,CSL,risk,active,news:newspaper4k,news:art_e4faef3c4644fe5bb3b66e32,0.82,0.86,medium,0,2026-05-04T16:12:18+00:00,2026-05-04T16:12:18+00:00,fresh,0.954,0.56,True,b0be449370406a74
1354,GOLD,observed_fact,active,news:newspaper4k,news:art_bcbc4dad9bda5cbf02c91115,0.85,0.94,medium,0,2026-05-04T16:41:39+00:00,2026-05-04T16:41:39+00:00,fresh,0.972,0.56,True,afb78b9ccc7fc65b
1493,A2M,observed_fact,active,news:newspaper4k,news:art_aa13edd261034dba97055d8a,0.81,0.9,medium,0,2026-05-04T17:13:07+00:00,2026-05-04T17:13:07+00:00,fresh,0.932,0.56,True,dcfc2e95889a2212
1495,A2M,observed_fact,active,news:newspaper4k,news:art_aa13edd261034dba97055d8a,0.84,0.9,medium,0,2026-05-04T17:13:07+00:00,2026-05-04T17:13:07+00:00,fresh,0.951,0.56,True,7755dc56620bc4f7
1549,BHP,observed_fact,active,news:newspaper4k,news:art_b3f267fa6b4ad9e3ddc7d62a,0.85,0.79,medium,0,2026-05-04T17:25:32+00:00,2026-05-04T17:25:32+00:00,fresh,0.921,0.58,True,621af7b59f8aab8c
1587,QBE,observed_fact,active,news:newspaper4k,news:art_5c310bef0f14a8ac13826bee,0.85,0.74,medium,0,2026-05-04T17:27:24+00:00,2026-05-04T17:27:24+00:00,fresh,0.924,0.58,True,8cd8dfeeebc604c2
1592,NHF,observed_fact,active,news:newspaper4k,news:art_5c310bef0f14a8ac13826bee,0.84,0.7,medium,0,2026-05-04T17:27:26+00:00,2026-05-04T17:27:26+00:00,fresh,0.883,0.58,True,9a1748222d1e0b97
1829,A2M,catalyst,active,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.74,0.82,short,0,2026-05-05T04:21:06+00:00,2026-05-05T04:21:06+00:00,fresh,0.839,0.56,True,28b0bb4a1197a77c
1961,A2M,risk,active,commentary:youtube_transcript,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,0.74,0.82,short,0,2026-05-05T04:22:00+00:00,2026-05-05T04:22:00+00:00,fresh,0.849,0.56,True,e362189e9e5dcb06
2018,360,operating_context,active,news:newspaper4k,news:art_bea8da576b0c3aaa6dd78b6d,0.82,0.74,short,0,2026-05-05T16:13:25+00:00,2026-05-05T16:13:25+00:00,fresh,0.75,0.58,True,bca6b53f30db9157
2031,CNQ,management_guidance,active,news:newspaper4k,news:art_6c98f13a834114b98533883b,0.85,0.76,medium,0,2026-05-05T16:18:31+00:00,2026-05-05T16:18:31+00:00,fresh,0.93,0.58,True,007e3d9c03e30822
2033,CNQ,observed_fact,active,news:newspaper4k,news:art_6c98f13a834114b98533883b,0.86,0.79,medium,0,2026-05-05T16:18:31+00:00,2026-05-05T16:18:31+00:00,fresh,0.951,0.58,True,fc8f379d83ad9475
2034,CNQ,risk,active,news:newspaper4k,news:art_6c98f13a834114b98533883b,0.83,0.91,medium,0,2026-05-05T16:18:31+00:00,2026-05-05T16:18:31+00:00,fresh,0.982,0.56,True,c0c160c9f6bd8a95
2040,CAR,observed_fact,active,news:newspaper4k,news:art_56a598c608cd5b44c7610ae6,0.83,0.7,medium,0,2026-05-05T16:20:16+00:00,2026-05-05T16:20:16+00:00,fresh,0.878,0.58,True,180c18ecfe367880
2062,KNI,strategic_initiative,active,news:newspaper4k,news:art_056e02f17e4b39182f4ff860,0.81,0.94,long,0,2026-05-05T16:22:44+00:00,2026-05-05T16:22:44+00:00,fresh,0.959,0.56,True,81624e80a4b52666
2104,CAE,strategic_initiative,active,news:newspaper4k,news:art_569f734a7f52bdddbf5b463c,0.81,0.95,long,0,2026-05-05T17:01:12+00:00,2026-05-05T17:01:12+00:00,fresh,0.962,0.56,True,42800ca15e94a956
2134,YEXT,observed_fact,active,news:newspaper4k,news:art_fcaa299f0ffaa15f9c03baea,0.83,0.7,medium,0,2026-05-07T09:12:01+00:00,2026-05-07T09:12:01+00:00,fresh,0.88,0.58,True,5fe6156efcea6259
2137,YEXT,risk,active,news:newspaper4k,news:art_fcaa299f0ffaa15f9c03baea,0.82,0.86,medium,0,2026-05-07T09:12:01+00:00,2026-05-07T09:12:01+00:00,fresh,0.937,0.56,True,3564fcc1d63f3725
2222,HUM,observed_fact,active,news:newspaper4k,news:art_2b9f55b4c0019ee921091fb8,0.83,0.7,medium,0,2026-05-07T09:26:44+00:00,2026-05-07T09:26:44+00:00,fresh,0.88,0.58,True,b8a5da3f29bd4b05
2223,HUM,risk,active,news:newspaper4k,news:art_2b9f55b4c0019ee921091fb8,0.82,0.86,medium,0,2026-05-07T09:26:44+00:00,2026-05-07T09:26:44+00:00,fresh,0.957,0.56,True,26c25cfee68c5c57
2227,ORI,risk,active,news:newspaper4k,news:art_b0c69f81422d594ae484f937,0.82,0.86,medium,0,2026-05-07T09:26:59+00:00,2026-05-07T09:26:59+00:00,fresh,0.957,0.56,True,58b16837a96e7305
2281,ADX,observed_fact,active,news:newspaper4k,news:art_66b87b294c194455cf488b81,0.85,0.9,medium,0,2026-05-07T09:46:00+00:00,2026-05-07T09:46:00+00:00,fresh,0.964,0.56,True,e3297897ec8b4d27
2331,ORI,strategic_initiative,active,news:newspaper4k,news:art_811e350a25841eb2dfaef092,0.82,0.94,long,0,2026-05-07T09:53:57+00:00,2026-05-07T09:53:57+00:00,fresh,0.969,0.56,True,6547aa85436dc0a3
2332,ORI,operating_context,active,news:newspaper4k,news:art_811e350a25841eb2dfaef092,0.8,0.94,short,0,2026-05-07T09:53:57+00:00,2026-05-07T09:53:57+00:00,fresh,0.812,0.56,True,a2250b6608d2b2bd
2334,GSK,observed_fact,active,news:newspaper4k,news:art_f34c0975f2b0b2af727ecb16,0.83,0.62,medium,0,2026-05-16T06:01:38+00:00,2026-05-16T06:01:38+00:00,fresh,0.861,0.58,True,06860a266564d136
2335,GSK,strategic_initiative,active,news:newspaper4k,news:art_f34c0975f2b0b2af727ecb16,0.79,0.76,long,0,2026-05-16T06:01:38+00:00,2026-05-16T06:01:38+00:00,fresh,0.889,0.58,True,a4ffbd87514e76c9
2336,MIN,observed_fact,active,news:newspaper4k,news:art_ef0e1d056a9ea3167e674c70,0.85,0.94,medium,0,2026-05-16T06:02:18+00:00,2026-05-16T06:02:18+00:00,fresh,0.983,0.56,True,fd7f67a2556dec5f
2337,MIN,observed_fact,active,news:newspaper4k,news:art_ef0e1d056a9ea3167e674c70,0.85,0.94,medium,0,2026-05-16T06:02:18+00:00,2026-05-16T06:02:18+00:00,fresh,0.983,0.56,True,8ee811854a492776
2338,SLB,observed_fact,active,news:newspaper4k,news:art_a211d96e0f97014fa9c6f9ef,0.83,0.7,medium,0,2026-05-16T06:03:00+00:00,2026-05-16T06:03:00+00:00,fresh,0.888,0.58,True,621f4fe0ebe4dcf4
2339,BLSH,observed_fact,active,news:newspaper4k,news:art_68f4ab4eed3898e2febdb60e,0.85,0.94,medium,0,2026-05-16T06:03:45+00:00,2026-05-16T06:03:45+00:00,fresh,1.003,0.56,True,3bc505f932a7c101
2340,BHP,observed_fact,active,news:newspaper4k,news:art_5cf586d2c6303f73e9f52219,0.83,0.7,medium,0,2026-05-16T06:04:59+00:00,2026-05-16T06:04:59+00:00,fresh,0.888,0.58,True,e3db2fe4de55d5d1
2341,RIO,observed_fact,active,news:newspaper4k,news:art_5cf586d2c6303f73e9f52219,0.83,0.7,medium,0,2026-05-16T06:04:59+00:00,2026-05-16T06:04:59+00:00,fresh,0.888,0.58,True,f3fed02f4f91c5e9
2342,EVN,observed_fact,active,news:newspaper4k,news:art_5cf586d2c6303f73e9f52219,0.83,0.7,medium,0,2026-05-16T06:04:59+00:00,2026-05-16T06:04:59+00:00,fresh,0.888,0.58,True,a50b69313b9acade
2343,XRO,observed_fact,active,news:newspaper4k,news:art_5cf586d2c6303f73e9f52219,0.78,0.62,medium,0,2026-05-16T06:05:01+00:00,2026-05-16T06:05:01+00:00,fresh,0.826,0.62,True,20060ba0bae35f4e
2344,CBA,observed_fact,active,news:newspaper4k,news:art_57b750d7fa106c81d104dfe0,0.83,0.7,medium,0,2026-05-16T06:05:16+00:00,2026-05-16T06:05:16+00:00,fresh,0.888,0.58,True,7ec41a3fef19f86b
2345,WTC,observed_fact,active,news:newspaper4k,news:art_32a327706b7c103a3c5c6fa3,0.85,0.7,medium,0,2026-05-16T06:05:50+00:00,2026-05-16T06:05:50+00:00,fresh,0.905,0.58,True,6eb475bb28b89f3b
2346,OTEX,management_guidance,active,news:newspaper4k,news:art_22c567570fd3089cfa96e5b2,0.81,0.72,medium,0,2026-05-16T06:06:03+00:00,2026-05-16T06:06:03+00:00,fresh,0.904,0.58,True,ba63ec7f316bec23
2347,DR,observed_fact,active,news:newspaper4k,news:art_186047fc4643942abca6b70d,0.83,0.7,medium,0,2026-05-16T06:06:12+00:00,2026-05-16T06:06:12+00:00,fresh,0.888,0.58,True,4dfcbff867c7ef01
2348,LUNR,management_guidance,active,news:newspaper4k,news:art_4c1d3b2309d842b82e3c301d,0.85,0.95,medium,0,2026-05-16T06:07:14+00:00,2026-05-16T06:07:14+00:00,fresh,1.012,0.56,True,534fc0a6d73f225d
2349,LUNR,risk,active,news:newspaper4k,news:art_4c1d3b2309d842b82e3c301d,0.82,0.9,medium,0,2026-05-16T06:07:15+00:00,2026-05-16T06:07:15+00:00,fresh,0.963,0.56,True,91c8512065f14473
2350,MSFT,operating_context,active,news:newspaper4k,news:art_c51a600975722d02246a5225,0.82,0.74,short,0,2026-05-16T06:07:44+00:00,2026-05-16T06:07:44+00:00,fresh,0.813,0.58,True,bfad57b115c8bc92
2351,WRN,operating_context,active,news:newspaper4k,news:art_977c998ed09b6e6121dffa42,0.84,0.74,short,0,2026-05-16T06:08:32+00:00,2026-05-16T06:08:32+00:00,fresh,0.828,0.58,True,49ca572ec40f8364
2352,WRN,observed_fact,active,news:newspaper4k,news:art_977c998ed09b6e6121dffa42,0.89,0.74,medium,0,2026-05-16T06:08:32+00:00,2026-05-16T06:08:32+00:00,fresh,0.946,0.58,True,0e61e194a52d9924
2353,WRN,observed_fact,active,news:newspaper4k,news:art_977c998ed09b6e6121dffa42,0.88,0.7,medium,0,2026-05-16T06:08:32+00:00,2026-05-16T06:08:32+00:00,fresh,0.923,0.58,True,d28c0d95ab768a3d
2354,WRN,observed_fact,active,news:newspaper4k,news:art_977c998ed09b6e6121dffa42,0.85,0.7,medium,0,2026-05-16T06:08:32+00:00,2026-05-16T06:08:32+00:00,fresh,0.905,0.58,True,3a2793a2e0deaa4a
2355,GEV,observed_fact,active,news:newspaper4k,news:art_608267a1f363d423a03e787f,0.85,0.9,medium,0,2026-05-16T06:10:10+00:00,2026-05-16T06:10:10+00:00,fresh,0.973,0.56,True,b8a98582e5efd7e9
2356,GEV,observed_fact,active,news:newspaper4k,news:art_608267a1f363d423a03e787f,0.83,0.9,medium,0,2026-05-16T06:10:10+00:00,2026-05-16T06:10:10+00:00,fresh,0.956,0.56,True,72e23a879d2dd4d4
2357,NXE,observed_fact,active,news:newspaper4k,news:art_ea5dcc9acd0c337cc173ff0d,0.85,0.9,medium,0,2026-05-16T06:10:23+00:00,2026-05-16T06:10:23+00:00,fresh,0.973,0.56,True,43393eddd3e20ee4
2358,CBA,operating_context,active,news:newspaper4k,news:art_a5bb31769ace035c01eadf60,0.81,0.74,short,0,2026-05-16T06:11:44+00:00,2026-05-16T06:11:44+00:00,fresh,0.807,0.58,True,d89ec2a409faf15f
2359,XRO,operating_context,active,news:newspaper4k,news:art_c0195feddb42ee1a1f11268d,0.78,0.74,short,0,2026-05-16T06:13:48+00:00,2026-05-16T06:13:48+00:00,fresh,0.784,0.58,True,fd153cced2992e03
2360,XRO,observed_fact,active,news:newspaper4k,news:art_c0195feddb42ee1a1f11268d,0.85,0.7,medium,0,2026-05-16T06:13:48+00:00,2026-05-16T06:13:48+00:00,fresh,0.905,0.58,True,5e785357f541c474
2361,MP1,operating_context,active,news:newspaper4k,news:art_c0195feddb42ee1a1f11268d,0.82,0.74,short,0,2026-05-16T06:13:48+00:00,2026-05-16T06:13:48+00:00,fresh,0.813,0.58,True,2f8d1ad8d51c6006
2362,CBA,observed_fact,active,news:newspaper4k,news:art_c0195feddb42ee1a1f11268d,0.83,0.7,medium,0,2026-05-16T06:13:49+00:00,2026-05-16T06:13:49+00:00,fresh,0.888,0.58,True,078da7711e85901e
2363,MIN,observed_fact,active,news:newspaper4k,news:art_c0195feddb42ee1a1f11268d,0.87,0.74,medium,0,2026-05-16T06:13:49+00:00,2026-05-16T06:13:49+00:00,fresh,0.932,0.58,True,295d67ca0ec34f97
2364,CBE,observed_fact,active,news:newspaper4k,news:art_9fe432dbf4898336703316b3,0.83,0.7,medium,0,2026-05-16T06:14:00+00:00,2026-05-16T06:14:00+00:00,fresh,0.888,0.58,True,07dbea1ffa903d92
2365,C1X,observed_fact,active,news:newspaper4k,news:art_9fe432dbf4898336703316b3,0.83,0.7,medium,0,2026-05-16T06:14:00+00:00,2026-05-16T06:14:00+00:00,fresh,0.888,0.58,True,172cf5ad487e2ca5
2366,SLB,observed_fact,active,news:newspaper4k,news:art_9fe432dbf4898336703316b3,0.85,0.7,medium,0,2026-05-16T06:14:00+00:00,2026-05-16T06:14:00+00:00,fresh,0.905,0.58,True,69db51fe96b0b774
2367,KAO,observed_fact,active,news:newspaper4k,news:art_9fe432dbf4898336703316b3,0.85,0.7,medium,0,2026-05-16T06:14:00+00:00,2026-05-16T06:14:00+00:00,fresh,0.905,0.58,True,6066b6c4db659340
2368,EOS,observed_fact,active,news:newspaper4k,news:art_2e2397e2ceab7445a1e794b1,0.85,0.66,medium,0,2026-05-16T06:59:50+00:00,2026-05-16T06:59:50+00:00,fresh,0.891,0.58,True,a4c4e7a23d15716e
2369,RG1,observed_fact,active,news:newspaper4k,news:art_b017d0456baa4e0453fe8832,0.83,0.95,medium,0,2026-05-16T07:00:03+00:00,2026-05-16T07:00:03+00:00,fresh,0.973,0.56,True,53e9a1a74ba1fcfb
2370,CSL,management_guidance,active,news:newspaper4k,news:art_b120ef4f6d0600fec953dc14,0.83,0.94,medium,0,2026-05-16T07:03:54+00:00,2026-05-16T07:03:54+00:00,fresh,0.992,0.56,True,4d1e0f227f7f7ec7
2371,CSL,observed_fact,active,news:newspaper4k,news:art_b120ef4f6d0600fec953dc14,0.85,0.95,medium,0,2026-05-16T07:03:54+00:00,2026-05-16T07:03:54+00:00,fresh,0.987,0.56,True,97cfbb46d66eca78
2372,CSL,observed_fact,active,news:newspaper4k,news:art_b120ef4f6d0600fec953dc14,0.83,0.9,medium,0,2026-05-16T07:03:54+00:00,2026-05-16T07:03:54+00:00,fresh,0.956,0.56,True,2ec964cf207a1d56
2373,CSL,observed_fact,active,news:newspaper4k,news:art_b120ef4f6d0600fec953dc14,0.83,0.9,medium,0,2026-05-16T07:03:55+00:00,2026-05-16T07:03:55+00:00,fresh,0.956,0.56,True,6b9b4a5405da8a6d
2374,CSL,risk,active,news:newspaper4k,news:art_b120ef4f6d0600fec953dc14,0.8,0.9,medium,0,2026-05-16T07:03:55+00:00,2026-05-16T07:03:55+00:00,fresh,0.946,0.56,True,a8bf8edcfda82dc2
2375,RML,strategic_initiative,active,news:newspaper4k,news:art_17feac00c8ee2bd70102ce2a,0.81,0.8,long,0,2026-05-16T07:05:12+00:00,2026-05-16T07:05:12+00:00,fresh,0.919,0.56,True,ba3d598efdefdc10
2376,XRO,observed_fact,active,news:newspaper4k,news:art_5e3caa9fea486a032b2393a2,0.85,0.7,medium,0,2026-05-16T07:05:21+00:00,2026-05-16T07:05:21+00:00,fresh,0.905,0.58,True,2f95528972b7c1b3
2377,MIN,observed_fact,active,news:newspaper4k,news:art_5e3caa9fea486a032b2393a2,0.87,0.74,medium,0,2026-05-16T07:05:22+00:00,2026-05-16T07:05:22+00:00,fresh,0.932,0.58,True,612e6d7782e688ab
2378,APH,observed_fact,active,news:newspaper4k,news:art_e307d911cadcf26c22ebaace,0.85,0.7,medium,0,2026-05-17T01:36:09+00:00,2026-05-17T01:36:09+00:00,fresh,0.906,0.58,True,9b22d49dca70744b
2379,APH,observed_fact,active,news:newspaper4k,news:art_e307d911cadcf26c22ebaace,0.87,0.74,medium,0,2026-05-17T01:36:09+00:00,2026-05-17T01:36:09+00:00,fresh,0.952,0.58,True,5e73d725ce2b7fd9
2380,APH,observed_fact,active,news:newspaper4k,news:art_e307d911cadcf26c22ebaace,0.83,0.7,medium,0,2026-05-17T01:36:09+00:00,2026-05-17T01:36:09+00:00,fresh,0.889,0.58,True,45d3b6b8e81dead1
2381,APH,risk,active,news:newspaper4k,news:art_e307d911cadcf26c22ebaace,0.82,0.82,medium,0,2026-05-17T01:36:10+00:00,2026-05-17T01:36:10+00:00,fresh,0.936,0.56,True,9b22d49dca70744b
2382,ABNB,management_guidance,active,news:newspaper4k,news:art_ba9b38bb020e790ea7de89e3,0.85,0.81,medium,0,2026-05-17T01:36:16+00:00,2026-05-17T01:36:16+00:00,fresh,0.966,0.56,True,21b6aa4a9e6d20a1
2383,ABNB,management_guidance,active,news:newspaper4k,news:art_ba9b38bb020e790ea7de89e3,0.85,0.81,medium,0,2026-05-17T01:36:16+00:00,2026-05-17T01:36:16+00:00,fresh,0.966,0.56,True,e12260d2a93fb208
2384,ABNB,observed_fact,active,news:newspaper4k,news:art_ba9b38bb020e790ea7de89e3,0.87,0.74,medium,0,2026-05-17T01:36:16+00:00,2026-05-17T01:36:16+00:00,fresh,0.952,0.58,True,d52f8e2ee7dd380c
2385,ADSK,management_guidance,active,news:newspaper4k,news:art_8c406b0009237dbc3d3dc8cd,0.85,0.95,medium,0,2026-05-17T01:40:09+00:00,2026-05-17T01:40:09+00:00,fresh,1.013,0.56,True,c24bea9fdbd69b5e
2386,ADSK,management_guidance,active,news:newspaper4k,news:art_8c406b0009237dbc3d3dc8cd,0.85,0.95,medium,0,2026-05-17T01:40:10+00:00,2026-05-17T01:40:10+00:00,fresh,1.013,0.56,True,291a743f3470549c
2387,ADSK,observed_fact,active,news:newspaper4k,news:art_8c406b0009237dbc3d3dc8cd,0.88,0.9,medium,0,2026-05-17T01:40:10+00:00,2026-05-17T01:40:10+00:00,fresh,0.992,0.56,True,8d57074e74e682bf
2388,ADSK,observed_fact,active,news:newspaper4k,news:art_8c406b0009237dbc3d3dc8cd,0.87,0.94,medium,0,2026-05-17T01:40:10+00:00,2026-05-17T01:40:10+00:00,fresh,1.02,0.56,True,83e9504923eaf1ab
2389,ADSK,observed_fact,active,news:newspaper4k,news:art_8c406b0009237dbc3d3dc8cd,0.87,0.95,medium,0,2026-05-17T01:40:10+00:00,2026-05-17T01:40:10+00:00,fresh,1.004,0.56,True,da90054f5a96f085
2390,ADSK,observed_fact,active,news:newspaper4k,news:art_8c406b0009237dbc3d3dc8cd,0.83,0.9,medium,0,2026-05-17T01:40:10+00:00,2026-05-17T01:40:10+00:00,fresh,0.957,0.56,True,777c1d363281b68e
2391,ADSK,risk,active,news:newspaper4k,news:art_8c406b0009237dbc3d3dc8cd,0.82,0.95,medium,0,2026-05-17T01:40:10+00:00,2026-05-17T01:40:10+00:00,fresh,0.977,0.56,True,1ea9a2908ec83eb7
2392,ANET,management_guidance,active,news:newspaper4k,news:art_52943d464c9f40b4ad3998b0,0.85,0.81,medium,0,2026-05-17T01:40:14+00:00,2026-05-17T01:40:14+00:00,fresh,0.966,0.56,True,3b3c132b6d727885
2393,ANET,observed_fact,active,news:newspaper4k,news:art_52943d464c9f40b4ad3998b0,0.83,0.7,medium,0,2026-05-17T01:40:14+00:00,2026-05-17T01:40:14+00:00,fresh,0.889,0.58,True,3dd19e5302b08892
2394,ANET,observed_fact,active,news:newspaper4k,news:art_52943d464c9f40b4ad3998b0,0.83,0.7,medium,0,2026-05-17T01:40:15+00:00,2026-05-17T01:40:15+00:00,fresh,0.889,0.58,True,c710305a8f918bb6
2395,ANET,observed_fact,active,news:newspaper4k,news:art_52943d464c9f40b4ad3998b0,0.85,0.7,medium,0,2026-05-17T01:40:15+00:00,2026-05-17T01:40:15+00:00,fresh,0.906,0.58,True,7b5d6993c062ac25
2396,APP,risk,active,news:newspaper4k,news:art_2de4ddb60cf90eb5b82a1d73,0.82,0.94,medium,0,2026-05-17T01:40:25+00:00,2026-05-17T01:40:25+00:00,fresh,0.994,0.56,True,59836cd5074f5205
2397,MELI,management_guidance,active,news:newspaper4k,news:art_16de2de413cd026e4a5182bb,0.85,0.81,medium,0,2026-05-17T01:40:37+00:00,2026-05-17T01:40:37+00:00,fresh,0.966,0.56,True,3386e4623ac81b1e
2398,LLY,management_guidance,active,news:newspaper4k,news:art_4e50c3c48d0210a665f3c131,0.85,0.95,medium,0,2026-05-17T01:40:43+00:00,2026-05-17T01:40:43+00:00,fresh,1.013,0.56,True,7c4f535e65488358
2399,LLY,management_guidance,active,news:newspaper4k,news:art_4e50c3c48d0210a665f3c131,0.85,0.95,medium,0,2026-05-17T01:40:43+00:00,2026-05-17T01:40:43+00:00,fresh,1.013,0.56,True,75058c4ffcaea9ed
2400,MA,management_guidance,active,news:newspaper4k,news:art_12d46878a4de82256eb26b40,0.87,0.81,medium,0,2026-05-17T01:40:47+00:00,2026-05-17T01:40:47+00:00,fresh,0.999,0.56,True,f005a82ef3abf808
2401,MA,observed_fact,active,news:newspaper4k,news:art_12d46878a4de82256eb26b40,0.85,0.7,medium,0,2026-05-17T01:40:47+00:00,2026-05-17T01:40:47+00:00,fresh,0.904,0.58,True,ff666560a942c481
2402,MA,observed_fact,active,news:newspaper4k,news:art_12d46878a4de82256eb26b40,0.87,0.74,medium,0,2026-05-17T01:40:49+00:00,2026-05-17T01:40:49+00:00,fresh,0.952,0.58,True,3ecc49ffb46025c2
2403,MA,risk,active,news:newspaper4k,news:art_12d46878a4de82256eb26b40,0.8,0.82,medium,0,2026-05-17T01:40:49+00:00,2026-05-17T01:40:49+00:00,fresh,0.92,0.56,True,7f49a102ac1852fc
2404,NVDA,observed_fact,active,news:newspaper4k,news:art_830239008bec6ec2f883ea1c,0.81,0.7,medium,0,2026-05-17T01:41:04+00:00,2026-05-17T01:41:04+00:00,fresh,0.876,0.62,True,50a86834178cee87
2405,NVDA,observed_fact,active,news:newspaper4k,news:art_830239008bec6ec2f883ea1c,0.84,0.7,medium,0,2026-05-17T01:41:04+00:00,2026-05-17T01:41:04+00:00,fresh,0.896,0.58,True,508382973b18f67f
2406,IDCC,management_guidance,active,news:newspaper4k,news:art_ceee47cdb507f02aef39ca89,0.87,0.94,medium,0,2026-05-17T01:41:13+00:00,2026-05-17T01:41:13+00:00,fresh,1.025,0.56,True,a695765b51104779
2407,IDCC,observed_fact,active,news:newspaper4k,news:art_ceee47cdb507f02aef39ca89,0.85,0.9,medium,0,2026-05-17T01:41:13+00:00,2026-05-17T01:41:13+00:00,fresh,0.974,0.56,True,47a5fc9ed9ce5593
